# file...... reg1_output_seconds.csv
# date...... Sat Sep 02 13:19:34 2017
# user...... Jon
# host...... (null)
# target.... regulator 57
# trigger... (none)
# interval.. 10
# limit..... 0
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_B.real,power_in_C.real,power_in_A.imag,power_in_B.imag,power_in_C.imag,tap_A_change_count,tap_B_change_count,tap_C_change_count
2016-01-01 00:00:00 PST,4,4,4,+227597,+230685,+135432,+4187.25,+4661.75,+1076.3,+0,+0,+0
2016-01-01 00:00:10 PST,4,4,4,+227597,+230685,+135432,+4187.25,+4661.76,+1076.3,+0,+0,+0
2016-01-01 00:00:20 PST,4,4,4,+227597,+230579,+135432,+4188.6,+4656.02,+1076.26,+0,+0,+0
2016-01-01 00:00:30 PST,5,5,5,+229068,+232372,+136446,+4189.87,+4674.82,+1081.39,+1,+1,+1
2016-01-01 00:00:40 PST,5,5,5,+229068,+232372,+136446,+4189.88,+4674.86,+1081.38,+1,+1,+1
2016-01-01 00:00:50 PST,5,5,5,+229068,+232207,+136446,+4190.82,+4669.96,+1081.44,+1,+1,+1
2016-01-01 00:01:00 PST,6,6,6,+230775,+233987,+137323,+4204.94,+4686.54,+1081.71,+2,+2,+2
2016-01-01 00:01:10 PST,6,6,6,+230882,+233988,+137143,+4241.71,+4687.79,+1078.17,+2,+2,+2
2016-01-01 00:01:20 PST,6,6,6,+230841,+233807,+137143,+4241.72,+4679.4,+1078.54,+2,+2,+2
2016-01-01 00:01:30 PST,7,7,7,+232390,+235765,+138165,+4246.34,+4703.33,+1083.13,+3,+3,+3
2016-01-01 00:01:40 PST,7,7,7,+232390,+235765,+138165,+4246.34,+4703.37,+1083.12,+3,+3,+3
2016-01-01 00:01:50 PST,7,7,7,+232386,+235339,+136836,+4250.99,+4589.23,+764.456,+3,+3,+3
2016-01-01 00:02:00 PST,8,8,8,+234113,+234998,+137857,+4288.62,+3947.63,+765.466,+4,+4,+4
2016-01-01 00:02:10 PST,8,8,8,+234657,+235655,+138188,+4456.73,+4159.53,+863.063,+4,+4,+4
2016-01-01 00:02:20 PST,8,8,8,+229669,+232842,+133096,+3037.2,+3414.64,-424.128,+4,+4,+4
2016-01-01 00:02:30 PST,9,9,9,+230180,+233711,+133955,+2720.66,+3124.96,-447.069,+5,+5,+5
2016-01-01 00:02:40 PST,9,9,9,+230046,+233642,+133792,+2715.75,+3123.07,-449.926,+5,+5,+5
2016-01-01 00:02:50 PST,9,9,9,+229742,+233301,+133792,+2705.32,+3108.48,-447.987,+5,+5,+5
2016-01-01 00:03:00 PST,10,10,10,+231473,+235153,+134600,+2718.02,+3130.6,-450.219,+6,+6,+6
2016-01-01 00:03:10 PST,10,10,10,+231472,+235154,+134536,+2718.12,+3131.15,-451.626,+6,+6,+6
2016-01-01 00:03:20 PST,10,10,10,+231361,+235153,+134536,+2713.16,+3131.37,-450.994,+6,+6,+6
2016-01-01 00:03:30 PST,11,11,11,+232847,+237206,+135388,+2713.39,+3191.9,-449.313,+7,+7,+7
2016-01-01 00:03:40 PST,11,11,11,+232847,+237206,+135388,+2713.39,+3191.93,-449.324,+7,+7,+7
2016-01-01 00:03:50 PST,11,11,11,+227607,+227681,+138577,+2586.8,+2946.61,+535.208,+7,+7,+7
2016-01-01 00:04:00 PST,12,12,11,+242909,+237258,+149172,+6540.7,+6471.6,+3371.03,+8,+8,+7
2016-01-01 00:04:10 PST,12,12,11,+256354,+245732,+159031,+10448.4,+10196.9,+6049.99,+8,+8,+7
2016-01-01 00:04:20 PST,12,12,11,+257642,+246695,+159621,+10840.6,+10518.4,+6203.86,+8,+8,+7
2016-01-01 00:04:30 PST,13,13,11,+259359,+248325,+159621,+10869.1,+10549.7,+6202.14,+9,+9,+7
2016-01-01 00:04:40 PST,13,13,11,+254289,+248307,+159624,+10624.8,+10561,+6235.03,+9,+9,+7
2016-01-01 00:04:50 PST,13,13,11,+254289,+248307,+159399,+10625,+10563.3,+6228.22,+9,+9,+7
2016-01-01 00:05:00 PST,13,13,11,+254122,+243091,+159393,+10682,+10301.1,+6227.82,+9,+9,+7
2016-01-01 00:05:10 PST,13,13,11,+248711,+242654,+159209,+10431.9,+10295.8,+6257.03,+9,+9,+7
2016-01-01 00:05:20 PST,13,13,11,+248713,+237974,+159206,+10456.8,+10204.4,+6259.42,+9,+9,+7
2016-01-01 00:05:30 PST,13,13,11,+239561,+234572,+159322,+10339.7,+10648.7,+6361.88,+9,+9,+7
2016-01-01 00:05:40 PST,13,13,11,+233226,+236074,+163788,+11010.4,+11125.3,+7672.16,+9,+9,+7
2016-01-01 00:05:50 PST,13,13,11,+236904,+231834,+164131,+12173,+11283.3,+9154.05,+9,+9,+7
2016-01-01 00:06:00 PST,13,13,11,+241159,+230093,+166476,+13431.4,+12205.2,+9786.4,+9,+9,+7
2016-01-01 00:06:10 PST,13,13,11,+244718,+231427,+180999,+14449.8,+12499.4,+10524.1,+9,+9,+7
2016-01-01 00:06:20 PST,13,13,11,+244256,+231079,+180998,+14432.8,+12484,+10527.4,+9,+9,+7
2016-01-01 00:06:30 PST,13,13,11,+244260,+255440,+181022,+14253,+13962.2,+10507.4,+9,+9,+7
2016-01-01 00:06:40 PST,13,13,11,+239403,+255033,+181024,+14042.3,+13957.5,+10542.7,+9,+9,+7
2016-01-01 00:06:50 PST,13,13,11,+239254,+244833,+175806,+14159.2,+13523.6,+10383.1,+9,+9,+7
2016-01-01 00:07:00 PST,13,13,11,+239114,+244609,+175446,+14156.2,+13516.9,+10371.4,+9,+9,+7
2016-01-01 00:07:10 PST,13,13,11,+238942,+258514,+175462,+14003.8,+14281.2,+10359.6,+9,+9,+7
2016-01-01 00:07:20 PST,13,13,11,+228882,+252713,+175461,+13610,+14135.4,+10432.9,+9,+9,+7
2016-01-01 00:07:30 PST,13,13,11,+228710,+252341,+175461,+13605.8,+14121.1,+10434.1,+9,+9,+7
2016-01-01 00:07:40 PST,13,13,11,+228710,+252346,+170024,+13616.4,+14166.8,+10267.5,+9,+9,+7
2016-01-01 00:07:50 PST,13,13,11,+228707,+247445,+169954,+13664.6,+13943.8,+10270.1,+9,+9,+7
2016-01-01 00:08:00 PST,13,13,11,+228708,+247449,+164629,+13675.4,+13987.7,+10114.1,+9,+9,+7
2016-01-01 00:08:10 PST,13,13,11,+228708,+247339,+164629,+13676.5,+13982.7,+10114.2,+9,+9,+7
2016-01-01 00:08:20 PST,13,13,11,+223019,+246764,+178778,+13421.6,+13713.2,+10875.5,+9,+9,+7
2016-01-01 00:08:30 PST,13,13,11,+222559,+246763,+178778,+13288.1,+13712.8,+10879.4,+9,+9,+7
2016-01-01 00:08:40 PST,13,13,11,+217356,+246753,+173683,+13077.1,+13757.9,+10759.3,+9,+9,+7
2016-01-01 00:08:50 PST,13,13,11,+217189,+246752,+173683,+13070.1,+13758,+10760.7,+9,+9,+7
2016-01-01 00:09:00 PST,13,13,11,+273066,+241054,+194677,+16557.4,+13184.3,+11421.4,+9,+9,+7
2016-01-01 00:09:10 PST,13,13,11,+287023,+297525,+236522,+16715.4,+16670.8,+13756.6,+9,+9,+7
2016-01-01 00:09:20 PST,13,13,11,+318058,+325016,+274250,+18660.6,+18087.4,+15852.6,+9,+9,+7
2016-01-01 00:09:30 PST,13,13,11,+359001,+352572,+287929,+21250.2,+20067.5,+16217.1,+9,+9,+7
2016-01-01 00:09:40 PST,13,13,11,+372281,+352047,+301665,+22401.6,+19870.3,+16964.2,+9,+9,+7
2016-01-01 00:09:50 PST,13,13,11,+372191,+352055,+296677,+22393.9,+19952.4,+16643,+9,+9,+7
2016-01-01 00:10:00 PST,13,13,11,+395843,+352272,+291739,+24475.8,+19957.5,+16090.6,+9,+9,+7
2016-01-01 00:10:10 PST,13,13,11,+409221,+352400,+291713,+25755.1,+19978.1,+15895.5,+9,+9,+7
2016-01-01 00:10:20 PST,13,13,11,+409117,+393411,+305710,+24902.3,+23279.7,+16989.6,+9,+9,+7
2016-01-01 00:10:30 PST,13,13,11,+404177,+393130,+305719,+24457,+23255.4,+17065.5,+9,+9,+7
2016-01-01 00:10:40 PST,13,13,11,+398685,+406645,+305700,+23757.3,+24603.1,+17157.4,+9,+9,+7
2016-01-01 00:10:50 PST,13,13,11,+398685,+406645,+305700,+23757.3,+24603.1,+17157.4,+9,+9,+7
2016-01-01 00:11:00 PST,13,13,11,+398695,+401766,+305476,+23800.1,+24435.1,+17147.1,+9,+9,+7
2016-01-01 00:11:10 PST,13,13,11,+398319,+401739,+315443,+23665.4,+24241.2,+17891.1,+9,+9,+7
2016-01-01 00:11:20 PST,13,13,11,+407420,+406589,+315097,+24249.5,+24562.4,+17727.6,+9,+9,+7
2016-01-01 00:11:30 PST,13,13,11,+426708,+415141,+315067,+25605.4,+24941.7,+17514.8,+9,+9,+7
2016-01-01 00:11:40 PST,13,13,11,+435932,+469452,+314949,+25482.4,+28436.4,+17261.7,+9,+9,+7
2016-01-01 00:11:50 PST,13,13,11,+464766,+479452,+314631,+27761.2,+29418.6,+16784.4,+9,+9,+7
2016-01-01 00:12:00 PST,13,13,11,+464661,+484062,+314781,+27636.3,+29934.2,+16839.1,+9,+9,+7
2016-01-01 00:12:10 PST,13,13,11,+464879,+483941,+314781,+27716.6,+29928.4,+16835.6,+9,+9,+7
2016-01-01 00:12:20 PST,13,13,11,+484139,+484048,+324571,+29507.3,+29749.8,+17092.6,+9,+9,+7
2016-01-01 00:12:30 PST,13,13,11,+493879,+484144,+334475,+30393.9,+29555.4,+17555.1,+9,+9,+7
2016-01-01 00:12:40 PST,13,13,11,+512857,+483802,+333294,+32314.3,+29387.8,+16911.6,+9,+9,+7
2016-01-01 00:12:50 PST,13,13,11,+512881,+503119,+343194,+31780.8,+31227.4,+17651.3,+9,+9,+7
2016-01-01 00:13:00 PST,13,13,11,+512882,+503120,+343195,+31781.1,+31227.7,+17651.6,+9,+9,+7
2016-01-01 00:13:10 PST,13,13,11,+522398,+508069,+353007,+32610.4,+31398.5,+18079.7,+9,+9,+7
2016-01-01 00:13:20 PST,13,13,11,+522348,+507761,+352948,+32612.9,+31370.8,+18078.5,+9,+9,+7
2016-01-01 00:13:30 PST,13,13,11,+522148,+507646,+352948,+32595.5,+31360.9,+18081.6,+9,+9,+7
2016-01-01 00:13:40 PST,13,13,11,+522147,+507540,+352836,+32596.2,+31357.4,+18041.9,+9,+9,+7
2016-01-01 00:13:50 PST,13,13,11,+522147,+507540,+352836,+32596.2,+31357.4,+18041.9,+9,+9,+7
2016-01-01 00:14:00 PST,13,13,11,+522040,+507539,+352837,+32584.9,+31357.3,+18044.2,+9,+9,+7
2016-01-01 00:14:10 PST,13,13,11,+521979,+507538,+352725,+32578.3,+31359.9,+18005.3,+9,+9,+7
2016-01-01 00:14:20 PST,13,13,11,+521865,+507537,+352443,+32599.1,+31367.8,+17985.9,+9,+9,+7
2016-01-01 00:14:30 PST,13,13,11,+521827,+507197,+352048,+32603.1,+31347,+17961.9,+9,+9,+7
2016-01-01 00:14:40 PST,13,13,11,+521653,+506976,+352046,+32591.7,+31257.7,+17963.2,+9,+9,+7
2016-01-01 00:14:50 PST,13,13,11,+521448,+506824,+351935,+32541.4,+31243.7,+17925.6,+9,+9,+7
2016-01-01 00:15:00 PST,13,13,11,+521562,+507427,+347319,+32529.9,+31377.5,+17574.8,+9,+9,+7
2016-01-01 00:15:10 PST,13,13,11,+521514,+507344,+347020,+32528.9,+31404.9,+17557,+9,+9,+7
2016-01-01 00:15:20 PST,13,13,11,+525971,+507420,+346811,+32965.1,+31396.7,+17480.2,+9,+9,+7
2016-01-01 00:15:30 PST,13,13,11,+525931,+507420,+344164,+32943.2,+31464.5,+16667.4,+9,+9,+7
2016-01-01 00:15:40 PST,13,13,11,+525931,+507420,+344164,+32943.2,+31464.5,+16667.4,+9,+9,+7
2016-01-01 00:15:50 PST,13,13,11,+525831,+507419,+344129,+32933,+31465.3,+16666.5,+9,+9,+7
2016-01-01 00:16:00 PST,13,13,11,+525781,+507420,+343886,+32927.7,+31471.2,+16650.4,+9,+9,+7
2016-01-01 00:16:10 PST,13,13,11,+525616,+507309,+343705,+32915.2,+31431.5,+16639.2,+9,+9,+7
2016-01-01 00:16:20 PST,13,13,11,+525616,+507309,+343705,+32915.2,+31431.5,+16639.2,+9,+9,+7
2016-01-01 00:16:30 PST,13,13,11,+525281,+507304,+343530,+32882.1,+31435.4,+16633.9,+9,+9,+7
2016-01-01 00:16:40 PST,13,13,11,+525160,+507154,+343301,+32871.3,+31430.9,+16620.9,+9,+9,+7
2016-01-01 00:16:50 PST,13,13,11,+525159,+506869,+343136,+32878,+31378.3,+16610.7,+9,+9,+7
2016-01-01 00:17:00 PST,13,13,11,+525049,+506756,+343017,+32836.3,+31341.4,+16604.3,+9,+9,+7
2016-01-01 00:17:10 PST,13,13,11,+525047,+506708,+342906,+32836.6,+31339.1,+16563.7,+9,+9,+7
2016-01-01 00:17:20 PST,13,13,11,+524996,+506653,+342906,+32832.8,+31334.2,+16564.5,+9,+9,+7
2016-01-01 00:17:30 PST,13,13,11,+524996,+506603,+342905,+32834.3,+31328.7,+16564.3,+9,+9,+7
2016-01-01 00:17:40 PST,13,13,11,+530488,+506484,+342887,+33442.4,+31322.7,+16468.4,+9,+9,+7
2016-01-01 00:17:50 PST,13,13,11,+530308,+506480,+343000,+33422.9,+31319.7,+16511,+9,+9,+7
2016-01-01 00:18:00 PST,13,13,11,+530309,+506419,+343000,+33425.1,+31313.2,+16511.1,+9,+9,+7
2016-01-01 00:18:10 PST,13,13,11,+530350,+501463,+342834,+33550.5,+30825.7,+16505.2,+9,+9,+7
2016-01-01 00:18:20 PST,13,13,11,+530219,+501341,+342946,+33540.2,+30812.7,+16546.7,+9,+9,+7
2016-01-01 00:18:30 PST,13,13,11,+529995,+501133,+342477,+33457.4,+30767.7,+16487.2,+9,+9,+7
2016-01-01 00:18:40 PST,13,13,11,+529960,+500976,+342396,+33459.3,+30752.3,+16517.2,+9,+9,+7
2016-01-01 00:18:50 PST,13,13,11,+529999,+511395,+342317,+33192.9,+32095,+16539.4,+9,+9,+7
2016-01-01 00:19:00 PST,13,13,11,+530000,+511396,+342269,+33193.3,+32096.2,+16536.8,+9,+9,+7
2016-01-01 00:19:10 PST,13,13,11,+530007,+497885,+342120,+33488.5,+30786.6,+16541.4,+9,+9,+7
2016-01-01 00:19:20 PST,13,13,11,+530007,+497885,+342120,+33488.5,+30786.6,+16541.4,+9,+9,+7
2016-01-01 00:19:30 PST,13,13,11,+529832,+497571,+342118,+33476.4,+30763.3,+16544.1,+9,+9,+7
2016-01-01 00:19:40 PST,13,13,11,+542971,+497721,+342063,+35009.5,+30732.8,+16348.1,+9,+9,+7
2016-01-01 00:19:50 PST,13,13,11,+542972,+497538,+342061,+35012.7,+30720,+16347.9,+9,+9,+7
2016-01-01 00:20:00 PST,13,13,11,+542792,+497536,+341791,+34990.6,+30726.6,+16267,+9,+9,+7
